,TP Sex ratio (males per 100 females),TP18 Sex ratio (males per 100 females),TP65 Sex ratio (males per 100 females),One Race White,One Race Black or African American,One Race American Indian and Alaska Native,One Race Asian,One Race Asian Indian,One Race Chinese,One Race Filipino,One Race Japanese,One Race Korean,One Race Vietnamese,One Race Other Asian,One Race Native Hawaiian and Other Pacific Islander,One Race Some other race,Two Plus White and Black or African American,Two Plus White and American Indian and Alaska Native,Two Plus White and Asian,Two Plus Black or African American and American Indian and Alaska Native,        Hispanic or Latino (of any race),Latino - Mexican,Latino - Puerto Rican,Latino - Cuban,            Other Hispanic or Latino,"Citizen, 18 and over population",CVAP Male,CVAP Female
"Congressional District 1 (116th Congress), Massachusetts!!2019 Estimate",94.4,90.6,79.2,584733.844392,46053.023544,1395.546168,15351.007848000000,2093.3192520000000,2791.092336,697.773084,697.773084,697.773084,2093.3192520000000,5582.184672,0.0,25119.831024000000,442.9845720000000,78.17374800000000,156.34749600000000,52.11583200000000,139699.383,4342.986,115089.129,2171.493,17371.944,561563.0,266742.425,294820.575
"Congressional District 2 (116th Congress), Massachusetts!!2019 Estimate",92.9,91.4,78.2,610517.6257500000,38203.26900000000,2204.0347500000000,44080.69500000000,16897.59975,8081.460750000000,2204.0347500000000,2204.0347500000000,2204.0347500000000,7346.782500000000,4408.0695000000000,734.6782500000000,15428.243250000000,300.861,100.287,225.64575000000000,25.07175,79014.0,4558.5,46344.75,759.75,28110.750000000000,573313.0,272896.988,300416.012
"Congressional District 3 (116th Congress), Massachusetts!!2019 Estimate",100.6,98.6,82.1,555655.99446,30786.345639000000,2252.659437,55565.599446,16519.502538,11263.297185,1501.7729580000000,750.8864790000000,1501.7729580000000,4505.318874,18772.161975,750.8864790000000,85601.05860600000,187.528689,41.673042,145.85564700000000,0.0,164376.99900000000,6945.5070000000000,60966.117,1543.4460000000000,94921.929,549542.0,272023.29,277518.71
"Congressional District 4 (116th Congress), Massachusetts!!2019 Estimate",93.5,89.7,77.4,619552.1056140000,25907.196770000000,1480.4112440000000,53294.804784000000,15544.318062000000,22206.168660000000,2960.8224880000000,740.2056220000000,3701.0281100000000,1480.4112440000000,5921.6449760000000,0.0,15544.318062000000,227.34340200000000,50.520756000000000,303.12453600000000,0.0,38273.3,3061.864,11481.99,1530.932,21433.048,562422.0,266025.60600000000,296396.39400000000
"Congressional District 5 (116th Congress), Massachusetts!!2019 Estimate",95.8,93.8,76.1,548677.630512,41634.07494400000,1486.9312480000000,99624.393616,29738.624960000000,45351.403064,1486.9312480000000,2973.8624960000000,5204.259368000000,5204.259368000000,10408.518736000000,0.0,28251.693712000000,221.19638400000000,49.154752,368.66064,0.0,76804.3,7680.43,15360.86,2304.129,51458.881,529999.0,254929.51900000000,275069.481
"Congressional District 6 (116th Congress), Massachusetts!!2019 Estimate",91.6,89.1,73.7,637558.2921480000,30789.034132000000,1501.9041040000000,33792.84234,13517.136936000000,6007.616416000000,2252.8561560000000,750.9520520000000,1501.9041040000000,2252.8561560000000,6758.568468000000,0.0,27785.225924000000,160.367584,40.091896,160.367584,0.0,80954.79,5396.986,12335.968,1541.996,61679.840000000000,571911.0,268226.25900000000,303684.74100000000
"Congressional District 7 (116th Congress), Massachusetts!!2019 Estimate",93.8,92.7,69.4,371366.84970000000,190559.95924,2250.70818,80275.25842,14254.485140000000,38262.039060000000,2250.70818,1500.47212,3751.1803,12003.77696,8252.596660000000,750.23606,41262.9833,3921.53958,275.19576,687.9894,68.79894,183463.84000000000,10647.455000000000,39313.68,4095.175,128588.495,555533.0,261100.51000000000,294432.49
"Congressional District 8 (116th Congress), Massachusetts!!2019 Estimate",93.9,91.7,75.5,556400.759796,84912.565752,2234.541204,61822.306644000000,9683.011884,36497.506332,2234.541204,744.847068,2234.541204,8193.317748000000,2234.541204,0.0,19366.023768,227.35825200000000,41.337864,124.013592,0.0,46696.476,2296.5480000000000,16075.836000000000,3827.58,24496.512,573152.0,272820.352,300331.648
"Congressional District 9 (116th Congress), Massachusetts!!2019 Estimate",92.5,90.6,79.2,640517.924586,26961.505358000000,3643.4466700000000,10930.34001,1457.378668,2186.068002,728.689334,0.0,728.689334,2186.068002,2914.757336,0.0,29147.573360000000,194.51666,58.354998,97.25833,0.0,44888.46,2992.564,22444.23,1496.282,17955.384000000000,579757.0,273645.304,306111.696
"Congressional District 1 (116th Congress), Michigan!!2019 Estimate",102.7,102.0,92.3,625374.386812,9495.923444000000,18313.566642,4747.961722000000,1356.5604920000000,678.2802460000000,1356.5604920000000,0.0,678.2802460000000,0.0,678.2802460000000,678.2802460000000,1356.5604920000000,75.28701600000000,319.96981800000000,56.465262,0.0,13244.938,8365.224,1394.204,697.102,2788.408,565370.0,285511.85,279858.15
"Congressional District 2 (116th Congress), Michigan!!2019 Estimate",98.3,95.5,83.3,611283.40336,44692.89034,3604.2653500000000,16579.620610000000,2162.55921,2162.55921,720.85307,0.0,1441.70614,3604.2653500000000,6487.67763,0.0,19463.032890000000,366.02902,235.30437000000000,156.86958,52.28986000000000,71711.808,53036.85800000000,8216.978000000000,2240.994,8963.976,553948.0,269772.67600000000,284175.324
"Congressional District 3 (116th Congress), Michigan!!2019 Estimate",98.4,97.7,80.7,595486.316016,59692.468876,2157.559116,15102.913812,2876.745488,2157.559116,1438.372744,719.186372,719.186372,1438.372744,5753.490976,0.0,15102.913812,595.8113040000000,264.80502400000000,198.60376800000000,66.20125600000000,60182.96,41375.785,3761.435,1504.574,13541.166000000000,554738.0,272931.096,281806.904
"Congressional District 4 (116th Congress), Michigan!!2019 Estimate",101.0,99.1,89.6,644774.411501,12386.274714000000,5505.0109840000000,6881.263730000000,1376.2527460000000,1376.2527460000000,688.1263730000000,0.0,1376.2527460000000,688.1263730000000,688.1263730000000,0.0,3440.6318650000000,103.324389,103.324389,44.281881000000000,0.0,24601.045000000000,18275.062,2108.661,702.8870000000000,3514.435,554656.0,276218.688,278437.312
"Congressional District 5 (116th Congress), Michigan!!2019 Estimate",93.3,91.2,78.2,501492.864432,113680.3773,3248.01078,6496.02156,2598.4086240000000,649.6021560000000,1299.2043120000000,0.0,649.6021560000000,0.0,1299.2043120000000,0.0,3248.01078,342.95766,160.046908,68.591532,45.727688,34295.766000000000,27571.106000000000,2689.864,0.0,3362.33,521742.0,249392.67600000000,272349.324
"Congressional District 6 (116th Congress), Michigan!!2019 Estimate",97.0,95.2,82.7,589200.748992,59059.03734000000,2779.2488160000000,10422.18306,2084.436612,2779.2488160000000,694.8122040000000,694.8122040000000,1389.6244080000000,0.0,2084.436612,0.0,6948.12204,400.43694,213.566368,133.47898,26.695796,46898.020000000000,33189.368,3607.54,1443.016,8658.096,542562.0,264770.256,277791.744
"Congressional District 7 (116th Congress), Michigan!!2019 Estimate",100.8,100.3,85.2,626084.73072,27550.4832,3443.8104,8265.14496,1377.52416,1377.52416,1377.52416,688.76208,688.76208,688.76208,2066.28624,0.0,2755.04832,340.83072,127.81152000000000,106.50960000000000,0.0,31952.880000000000,25562.304000000000,2130.192,710.064,3550.32,550964.0,275482.0,275482.0
"Congressional District 8 (116th Congress), Michigan!!2019 Estimate",94.4,93.0,82.0,612727.659,43920.549,2880.036,36720.459000000000,12240.153,8640.108,2160.027,720.009,4320.054,1440.018,6480.081000000000,0.0,3600.045,248.89200000000000,82.96400000000000,124.44600000000000,20.741000000000000,38519.0,25926.250000000000,2963.0,2222.25,8148.250000000000,562613.0,270054.24,292558.76
"Congressional District 9 (116th Congress), Michigan!!2019 Estimate",94.8,91.9,74.0,532003.577006,96538.50809900000,3472.6082050000000,37504.16861400000,11806.867897000000,2778.086564,3472.6082050000000,694.521641,2083.5649230000000,2083.5649230000000,14584.954461000000,0.0,2778.086564,402.923103,118.50679500000000,142.208154,23.701359,18673.798000000000,11491.568000000000,1436.4460000000000,718.2230000000000,5027.561,556032.0,265227.264,290804.73600000000
